"Date","Time","Longitude","Latitude"
"27/03/2020","12:05:14.00",-38.0653167,-54.0092391
"27/03/2020","12:05:15.00",-38.0653167,-54.0092391
"27/03/2020","12:05:16.00",-38.0653167,-54.0092391
"27/03/2020","12:05:17.00",-38.0653167,-54.0092391
"27/03/2020","12:05:18.00",-38.0653167,-54.0092391
"27/03/2020","12:05:19.00",-38.0653168,-54.0092391
"27/03/2020","12:05:20.00",-38.0653168,-54.0092391
"27/03/2020","12:05:21.00",-38.0653168,-54.0092391
"27/03/2020","12:05:22.00",-38.0653168,-54.0092391
"27/03/2020","12:05:23.00",-38.0653168,-54.0092391
"27/03/2020","12:05:24.00",-38.0653168,-54.0092391
"27/03/2020","12:05:25.00",-38.0653168,-54.0092391
"27/03/2020","12:05:26.00",-38.0653168,-54.0092391
"27/03/2020","12:05:27.00",-38.0653168,-54.0092391
"27/03/2020","12:05:28.00",-38.0653168,-54.0092391
"27/03/2020","12:05:29.00",-38.0653168,-54.0092391
"27/03/2020","12:05:31.00",-38.0653168,-54.0092391
"27/03/2020","12:05:32.00",-38.0653168,-54.0092391
"27/03/2020","12:05:33.00",-38.0653168,-54.0092391
"27/03/2020","12:05:34.00",-38.0653168,-54.0092391
"27/03/2020","12:05:35.00",-38.0653168,-54.0092391
"27/03/2020","12:05:36.00",-38.0653168,-54.0092391
"27/03/2020","12:05:37.00",-38.0653168,-54.0092391
"27/03/2020","12:05:38.00",-38.0653168,-54.0092391
"27/03/2020","12:05:39.00",-38.0653168,-54.0092391
"27/03/2020","12:05:40.00",-38.0653168,-54.0092391
"27/03/2020","12:05:41.00",-38.0653168,-54.0092391
"27/03/2020","12:05:42.00",-38.0653168,-54.0092391
"27/03/2020","12:05:43.00",-38.0653168,-54.0092391
"27/03/2020","12:05:44.00",-38.0653168,-54.0092391
"27/03/2020","12:05:45.00",-38.0653168,-54.0092391
"27/03/2020","12:05:46.00",-38.0653168,-54.0092391
"27/03/2020","12:05:47.00",-38.0653168,-54.009239
"27/03/2020","12:05:48.00",-38.0653168,-54.009239
"27/03/2020","12:05:49.00",-38.0653169,-54.009239
"27/03/2020","12:05:50.00",-38.0653169,-54.009239
"27/03/2020","12:05:51.00",-38.0653169,-54.009239
"27/03/2020","12:05:52.00",-38.0653169,-54.009239
"27/03/2020","12:05:53.00",-38.0653169,-54.009239
"27/03/2020","12:05:54.00",-38.0653169,-54.009239
"27/03/2020","12:05:55.00",-38.0653169,-54.009239
"27/03/2020","12:05:56.00",-38.0653169,-54.009239
"27/03/2020","12:05:57.00",-38.0653169,-54.009239
"27/03/2020","12:05:58.00",-38.0653169,-54.009239
"27/03/2020","12:05:59.00",-38.0653169,-54.009239
"27/03/2020","12:06:00.00",-38.0653169,-54.009239
"27/03/2020","12:06:01.00",-38.0653169,-54.009239
"27/03/2020","12:06:02.00",-38.0653169,-54.009239
"27/03/2020","12:06:03.00",-38.0653169,-54.009239
"27/03/2020","12:06:04.00",-38.0653169,-54.009239
"27/03/2020","12:06:05.00",-38.0653169,-54.009239
"27/03/2020","12:06:06.00",-38.0653169,-54.009239
"27/03/2020","12:06:07.00",-38.0653169,-54.009239
"27/03/2020","12:06:08.00",-38.0653169,-54.009239
